"Production","Value(Dollars)","Yield(Unit/Acre)"
"3918","2125000","2.36"
"4860","2662000","2.82"
"6326","3342000","3.93"
"5042","2137000","3.07"
"5286","2103000","3.16"
"5336","1802000","3.55"
"4908","1749000","3.35"
"5006","1794000","3.43"
"4094","1548000","3.37"
"7615","5432000","4.2"
"3435","3023000","2.11"
"4938","4282000","3.84"
"5028","4474000","3.28"
"4248","3626000","2.7"
"4261","3829000","2.08"
"3253","2833000","1.9"
"4730","4866000","2.85"
"9308","10386000","4.71"
"4370","5267000","2.04"
"7210","8523000","3.57"
"5483","6498000","2.11"
"8797","10092000","2.91"
"4793","5398000","2.13"
"7325","7892000","3.21"
"9094","9052000","3.6"
"9189","8552000","4.24"
"8534","8004600","3.74"
"7526","6455000","3.93"
"9417","8586000","3.73"
"12110","14025000","5.02"
"12600","11419000","5.63"
"9190","11916000","3.47"
"11000","13764000","3.74"
"16300","15965000","5.82"
"10600","15756000","4.38"
"9940","15208000","4.14"
"12700","18189000","4.83"
"12300","17802000","5.08"
"18100","27205000","5.34"
"18100","27205000","5.34"
"13000","19470000","5.14"
